Welcome to Producer/Consumer using Locks implementation.
Would you like to use 
1) 5 Producers and 2 Consumers or
Consumer 1 took 309 from the buffer.
Producer 4 placed 551 into the buffer.
Producer 3 placed 777 into the buffer.
Consumer 1 took 311 from the buffer.
Consumer 2 took 452 from the buffer.
Producer 5 placed 690 into the buffer.
Producer 1 placed 881 into the buffer.
Consumer 1 took 317 from the buffer.
Consumer 2 took 475 from the buffer.
Producer 3 placed 70 into the buffer.
Producer 4 placed 523 into the buffer.
Consumer 2 took 385 from the buffer.
Producer 1 placed 868 into the buffer.
Producer 2 placed 234 into the buffer.
Consumer 1 took 487 from the buffer.
Consumer 2 took 974 from the buffer.
Consumer 1 took 257 from the buffer.
Producer 4 placed 881 into the buffer.
Producer 1 placed 345 into the buffer.
Consumer 2 took 777 from the buffer.
Consumer 1 took 551 from the buffer.
Producer 2 placed 152 into the buffer.
Producer 2 placed 548 into the buffer.
Consumer 1 took 881 from the buffer.
Producer 1 placed 793 into the buffer.
Producer 5 placed 269 into the buffer.
Consumer 2 took 690 from the buffer.
Consumer 1 took 70 from the buffer.
Producer 3 placed 441 into the buffer.
Consumer 2 took 523 from the buffer.
Producer 2 placed 274 into the buffer.
Consumer 1 took 868 from the buffer.
Producer 3 placed 187 into the buffer.
Consumer 2 took 234 from the buffer.
Producer 5 placed 814 into the buffer.
Consumer 2 took 345 from the buffer.
Producer 4 placed 429 into the buffer.
Consumer 1 took 881 from the buffer.
Producer 2 placed 326 into the buffer.
Producer 5 placed 274 into the buffer.
Consumer 2 took 152 from the buffer.
Consumer 1 took 548 from the buffer.
Producer 1 placed 815 into the buffer.
Consumer 1 took 793 from the buffer.
Producer 5 placed 710 into the buffer.
Producer 2 placed 66 into the buffer.
Consumer 2 took 269 from the buffer.
Consumer 1 took 441 from the buffer.
Producer 1 placed 47 into the buffer.
Producer 5 placed 7 into the buffer.
Consumer 2 took 274 from the buffer.
Consumer 2 took 187 from the buffer.
Producer 2 placed 76 into the buffer.
Consumer 1 took 814 from the buffer.
Producer 3 placed 93 into the buffer.
Consumer 2 took 326 from the buffer.
Producer 1 placed 12 into the buffer.
Consumer 1 took 429 from the buffer.
Producer 5 placed 421 into the buffer.
Consumer 2 took 274 from the buffer.
Consumer 1 took 815 from the buffer.
Producer 3 placed 718 into the buffer.
Producer 2 placed 791 into the buffer.
Consumer 2 took 66 from the buffer.
Consumer 1 took 710 from the buffer.
Producer 4 placed 632 into the buffer.
Producer 5 placed 58 into the buffer.
Consumer 2 took 47 from the buffer.
Consumer 1 took 7 from the buffer.
Producer 2 placed 882 into the buffer.
Producer 1 placed 873 into the buffer.
Consumer 2 took 76 from the buffer.
Producer 5 placed 343 into the buffer.
Consumer 1 took 93 from the buffer.
Producer 4 placed 71 into the buffer.
Consumer 2 took 421 from the buffer.
Producer 1 placed 977 into the buffer.
Producer 3 placed 740 into the buffer.
Consumer 1 took 12 from the buffer.
Consumer 1 took 718 from the buffer.
Producer 4 placed 517 into the buffer.
Consumer 2 took 791 from the buffer.
Producer 5 placed 250 into the buffer.
Consumer 1 took 58 from the buffer.
Producer 3 placed 300 into the buffer.
Producer 4 placed 55 into the buffer.
Consumer 2 took 632 from the buffer.
Consumer 1 took 882 from the buffer.
Producer 5 placed 750 into the buffer.
Producer 1 placed 851 into the buffer.
Consumer 2 took 873 from the buffer.
Consumer 2 took 71 from the buffer.
Producer 4 placed 913 into the buffer.
Producer 4 placed 884 into the buffer.
Consumer 1 took 343 from the buffer.
Consumer 2 took 977 from the buffer.
Consumer 1 took 740 from the buffer.
Producer 4 placed 583 into the buffer.
Producer 1 placed 37 into the buffer.
Consumer 1 took 517 from the buffer.
Producer 3 placed 502 into the buffer.
Consumer 2 took 250 from the buffer.
Producer 2 placed 995 into the buffer.
Consumer 2 took 55 from the buffer.
Consumer 1 took 300 from the buffer.
Producer 1 placed 909 into the buffer.
Producer 4 placed 556 into the buffer.
Consumer 2 took 750 from the buffer.
Producer 2 placed 11 into the buffer.
Consumer 1 took 851 from the buffer.
Producer 5 placed 737 into the buffer.
Consumer 2 took 913 from the buffer.
Producer 4 placed 572 into the buffer.
Consumer 1 took 884 from the buffer.
Producer 2 placed 356 into the buffer.
Consumer 2 took 37 from the buffer.
Producer 5 placed 857 into the buffer.
Producer 4 placed 898 into the buffer.
Consumer 1 took 583 from the buffer.
Consumer 2 took 502 from the buffer.
Producer 2 placed 787 into the buffer.
Consumer 1 took 995 from the buffer.
Producer 5 placed 769 into the buffer.
Consumer 2 took 909 from the buffer.
Producer 4 placed 345 into the buffer.
Consumer 1 took 556 from the buffer.
Producer 2 placed 120 into the buffer.
Consumer 2 took 11 from the buffer.
Producer 5 placed 928 into the buffer.
Consumer 1 took 737 from the buffer.
Producer 4 placed 866 into the buffer.
Consumer 2 took 572 from the buffer.
Producer 2 placed 805 into the buffer.
Consumer 1 took 356 from the buffer.
Producer 5 placed 936 into the buffer.
Consumer 2 took 857 from the buffer.
Producer 4 placed 894 into the buffer.
Consumer 1 took 898 from the buffer.
Producer 4 placed 270 into the buffer.
Consumer 1 took 787 from the buffer.
Consumer 2 took 769 from the buffer.
Producer 5 placed 782 into the buffer.
Producer 2 placed 246 into the buffer.
Consumer 2 took 345 from the buffer.
Producer 4 placed 773 into the buffer.
Consumer 1 took 120 from the buffer.
Producer 1 placed 307 into the buffer.
Consumer 2 took 928 from the buffer.
Consumer 1 took 866 from the buffer.
Producer 2 placed 66 into the buffer.
Producer 4 placed 391 into the buffer.
Consumer 1 took 805 from the buffer.
Producer 1 placed 809 into the buffer.
Consumer 2 took 936 from the buffer.
Producer 4 placed 551 into the buffer.
Consumer 1 took 894 from the buffer.
Producer 3 placed 327 into the buffer.
Consumer 2 took 270 from the buffer.
Producer 1 placed 34 into the buffer.
Consumer 1 took 782 from the buffer.
Producer 3 placed 734 into the buffer.
Consumer 2 took 246 from the buffer.
Producer 4 placed 861 into the buffer.
Producer 1 placed 704 into the buffer.
Producer 5 placed 309 into the buffer.
Consumer 1 took 307 from the buffer.
Consumer 2 took 773 from the buffer.
Consumer 1 took 66 from the buffer.
Consumer 2 took 391 from the buffer.
Producer 4 placed 389 into the buffer.
Producer 1 placed 231 into the buffer.
Consumer 2 took 809 from the buffer.
Producer 5 placed 406 into the buffer.
Producer 5 placed 932 into the buffer.
Consumer 1 took 551 from the buffer.
Consumer 2 took 327 from the buffer.
Producer 1 placed 598 into the buffer.
Producer 4 placed 391 into the buffer.
Consumer 1 took 34 from the buffer.
Consumer 2 took 861 from the buffer.
Consumer 1 took 734 from the buffer.
Producer 1 placed 134 into the buffer.
Producer 5 placed 963 into the buffer.
Consumer 2 took 704 from the buffer.
Consumer 1 took 309 from the buffer.
Producer 4 placed 703 into the buffer.
Producer 1 placed 593 into the buffer.
Consumer 2 took 389 from the buffer.
Consumer 1 took 231 from the buffer.
Producer 4 placed 463 into the buffer.
Producer 5 placed 295 into the buffer.
Consumer 2 took 406 from the buffer.
Consumer 1 took 932 from the buffer.
Producer 3 placed 841 into the buffer.
Producer 2 placed 991 into the buffer.
Consumer 2 took 598 from the buffer.
Producer 5 placed 387 into the buffer.
Producer 1 placed 728 into the buffer.
Consumer 1 took 391 from the buffer.
Consumer 1 took 134 from the buffer.
Producer 1 placed 895 into the buffer.
Producer 2 placed 32 into the buffer.
Consumer 2 took 963 from the buffer.
Consumer 1 took 703 from the buffer.
Consumer 2 took 593 from the buffer.
Producer 5 placed 117 into the buffer.
Producer 3 placed 727 into the buffer.
Consumer 1 took 295 from the buffer.
Consumer 2 took 463 from the buffer.
Producer 5 placed 215 into the buffer.
Producer 2 placed 34 into the buffer.
Consumer 2 took 841 from the buffer.
Producer 1 placed 762 into the buffer.
Consumer 1 took 991 from the buffer.
Producer 4 placed 705 into the buffer.
Consumer 2 took 387 from the buffer.
Producer 2 placed 882 into the buffer.
Consumer 1 took 728 from the buffer.
Producer 2 placed 896 into the buffer.
Consumer 2 took 32 from the buffer.
Consumer 1 took 895 from the buffer.
Producer 4 placed 150 into the buffer.
Producer 5 placed 387 into the buffer.
Producer 1 placed 423 into the buffer.
Consumer 2 took 117 from the buffer.
Consumer 1 took 727 from the buffer.
Producer 1 placed 156 into the buffer.
Consumer 2 took 34 from the buffer.
Producer 5 placed 1 into the buffer.
Producer 4 placed 455 into the buffer.
Consumer 1 took 215 from the buffer.
Consumer 2 took 705 from the buffer.
Producer 1 placed 622 into the buffer.
Producer 3 placed 759 into the buffer.
Consumer 1 took 762 from the buffer.
Consumer 2 took 882 from the buffer.
Producer 4 placed 567 into the buffer.
Consumer 1 took 896 from the buffer.
Producer 2 placed 496 into the buffer.
Consumer 2 took 150 from the buffer.
Producer 3 placed 211 into the buffer.
Consumer 1 took 387 from the buffer.
Producer 3 placed 800 into the buffer.
Consumer 2 took 423 from the buffer.
Consumer 1 took 156 from the buffer.
Producer 2 placed 295 into the buffer.
Producer 2 placed 992 into the buffer.
Consumer 1 took 1 from the buffer.
Producer 3 placed 719 into the buffer.
Consumer 2 took 455 from the buffer.
Producer 3 placed 665 into the buffer.
Consumer 1 took 622 from the buffer.
Consumer 2 took 759 from the buffer.
Producer 4 placed 780 into the buffer.
Producer 4 placed 151 into the buffer.
Consumer 1 took 567 from the buffer.
Consumer 2 took 496 from the buffer.
Producer 3 placed 730 into the buffer.
Producer 5 placed 282 into the buffer.
Consumer 1 took 211 from the buffer.
Consumer 2 took 800 from the buffer.
Producer 4 placed 177 into the buffer.
Producer 1 placed 15 into the buffer.
Consumer 2 took 295 from the buffer.
Consumer 1 took 992 from the buffer.
Producer 5 placed 99 into the buffer.
Producer 3 placed 959 into the buffer.
Consumer 2 took 719 from the buffer.
Producer 1 placed 665 into the buffer.
Producer 4 placed 15 into the buffer.
Consumer 1 took 665 from the buffer.
Consumer 2 took 780 from the buffer.
Producer 3 placed 65 into the buffer.
Consumer 1 took 151 from the buffer.
Producer 5 placed 205 into the buffer.
Consumer 1 took 730 from the buffer.
Producer 4 placed 996 into the buffer.
Consumer 2 took 282 from the buffer.
Producer 4 placed 307 into the buffer.
Consumer 2 took 177 from the buffer.
Consumer 1 took 15 from the buffer.
Producer 5 placed 570 into the buffer.
Producer 1 placed 888 into the buffer.
Consumer 2 took 99 from the buffer.
Producer 4 placed 669 into the buffer.
Producer 2 placed 325 into the buffer.
Consumer 1 took 959 from the buffer.
Consumer 1 took 665 from the buffer.
Producer 1 placed 237 into the buffer.
Producer 5 placed 499 into the buffer.
Consumer 2 took 15 from the buffer.
Consumer 1 took 65 from the buffer.
Producer 3 placed 965 into the buffer.
Consumer 2 took 205 from the buffer.
Producer 2 placed 533 into the buffer.
Consumer 1 took 996 from the buffer.
Producer 5 placed 565 into the buffer.
Producer 1 placed 975 into the buffer.
Consumer 2 took 307 from the buffer.
Consumer 1 took 570 from the buffer.
Producer 2 placed 203 into the buffer.
Consumer 2 took 888 from the buffer.
Producer 3 placed 813 into the buffer.
Consumer 1 took 669 from the buffer.
Producer 1 placed 671 into the buffer.
Consumer 2 took 325 from the buffer.
Producer 2 placed 213 into the buffer.
Consumer 1 took 237 from the buffer.
Producer 3 placed 632 into the buffer.
Consumer 2 took 499 from the buffer.
Producer 1 placed 238 into the buffer.
Consumer 1 took 533 from the buffer.
Producer 2 placed 264 into the buffer.
Consumer 2 took 965 from the buffer.
Producer 3 placed 559 into the buffer.
Consumer 1 took 565 from the buffer.
Producer 1 placed 886 into the buffer.
Producer 2 placed 998 into the buffer.
Consumer 2 took 975 from the buffer.
Consumer 1 took 203 from the buffer.
Producer 3 placed 418 into the buffer.
Producer 4 placed 648 into the buffer.
Consumer 2 took 813 from the buffer.
Consumer 2 took 671 from the buffer.
Consumer 1 took 213 from the buffer.
Producer 2 placed 32 into the buffer.
Producer 1 placed 585 into the buffer.
Consumer 2 took 632 from the buffer.
Consumer 1 took 238 from the buffer.
Producer 4 placed 860 into the buffer.
Producer 2 placed 727 into the buffer.
Consumer 2 took 264 from the buffer.
Producer 3 placed 93 into the buffer.
Consumer 1 took 559 from the buffer.
Producer 1 placed 447 into the buffer.
Consumer 1 took 886 from the buffer.
Consumer 2 took 998 from the buffer.
Producer 3 placed 531 into the buffer.
Producer 5 placed 442 into the buffer.
Consumer 2 took 648 from the buffer.
Producer 1 placed 170 into the buffer.
Consumer 1 took 418 from the buffer.
Producer 2 placed 240 into the buffer.
Consumer 2 took 32 from the buffer.
Producer 5 placed 677 into the buffer.
Consumer 1 took 585 from the buffer.
Producer 4 placed 238 into the buffer.
Consumer 2 took 860 from the buffer.
Producer 2 placed 943 into the buffer.
Consumer 1 took 727 from the buffer.
Producer 5 placed 467 into the buffer.
Consumer 1 took 447 from the buffer.
Producer 4 placed 898 into the buffer.
Consumer 2 took 93 from the buffer.
Producer 2 placed 106 into the buffer.
Consumer 1 took 442 from the buffer.
Producer 5 placed 447 into the buffer.
Consumer 2 took 531 from the buffer.
Producer 3 placed 615 into the buffer.
Consumer 1 took 170 from the buffer.
Producer 2 placed 366 into the buffer.
Consumer 2 took 240 from the buffer.
Producer 5 placed 974 into the buffer.
Consumer 2 took 238 from the buffer.
Consumer 1 took 677 from the buffer.
Producer 2 placed 119 into the buffer.
Producer 3 placed 308 into the buffer.
Consumer 2 took 943 from the buffer.
Producer 5 placed 66 into the buffer.
Consumer 1 took 467 from the buffer.
Producer 2 placed 806 into the buffer.
Consumer 1 took 898 from the buffer.
Consumer 2 took 106 from the buffer.
Producer 1 placed 460 into the buffer.
Producer 4 placed 70 into the buffer.
Consumer 1 took 447 from the buffer.
Consumer 2 took 615 from the buffer.
Producer 2 placed 15 into the buffer.
Producer 3 placed 145 into the buffer.
Consumer 1 took 366 from the buffer.
Producer 4 placed 855 into the buffer.
Producer 2 placed 994 into the buffer.
Consumer 2 took 974 from the buffer.
Consumer 1 took 308 from the buffer.
Producer 3 placed 766 into the buffer.
Consumer 2 took 119 from the buffer.
Producer 5 placed 399 into the buffer.
Consumer 1 took 66 from the buffer.
Consumer 2 took 806 from the buffer.
Producer 2 placed 258 into the buffer.
Producer 4 placed 843 into the buffer.
Consumer 2 took 70 from the buffer.
Producer 5 placed 660 into the buffer.
Producer 3 placed 671 into the buffer.
Consumer 1 took 460 from the buffer.
Consumer 1 took 15 from the buffer.
Producer 4 placed 893 into the buffer.
Producer 2 placed 780 into the buffer.
Consumer 2 took 145 from the buffer.
Consumer 2 took 855 from the buffer.
Producer 3 placed 49 into the buffer.
Consumer 1 took 994 from the buffer.
Producer 1 placed 378 into the buffer.
Consumer 1 took 399 from the buffer.
Consumer 2 took 766 from the buffer.
Producer 2 placed 532 into the buffer.
Producer 4 placed 922 into the buffer.
Consumer 1 took 258 from the buffer.
Producer 1 placed 381 into the buffer.
Consumer 2 took 843 from the buffer.
Producer 5 placed 573 into the buffer.
Consumer 1 took 660 from the buffer.
Producer 2 placed 65 into the buffer.
Producer 4 placed 179 into the buffer.
Consumer 2 took 671 from the buffer.
Consumer 1 took 893 from the buffer.
Producer 5 placed 905 into the buffer.
Consumer 2 took 780 from the buffer.
Producer 1 placed 162 into the buffer.
Consumer 1 took 49 from the buffer.
Producer 4 placed 407 into the buffer.
Producer 5 placed 519 into the buffer.
Consumer 2 took 378 from the buffer.
Consumer 1 took 532 from the buffer.
Producer 1 placed 114 into the buffer.
Consumer 2 took 922 from the buffer.
Producer 4 placed 584 into the buffer.
Consumer 2 took 573 from the buffer.
Consumer 1 took 381 from the buffer.
Producer 5 placed 355 into the buffer.
Producer 1 placed 609 into the buffer.
Consumer 2 took 179 from the buffer.
Consumer 1 took 65 from the buffer.
Producer 4 placed 794 into the buffer.
Producer 3 placed 99 into the buffer.
Consumer 2 took 905 from the buffer.
Consumer 1 took 162 from the buffer.
Producer 1 placed 642 into the buffer.
Producer 5 placed 688 into the buffer.
Consumer 2 took 407 from the buffer.
Producer 3 placed 352 into the buffer.
Producer 4 placed 472 into the buffer.
Consumer 1 took 519 from the buffer.
Producer 5 placed 75 into the buffer.
Producer 3 placed 514 into the buffer.
Consumer 2 took 114 from the buffer.
Consumer 1 took 584 from the buffer.
Consumer 1 took 609 from the buffer.
Producer 4 placed 867 into the buffer.
Consumer 2 took 355 from the buffer.
Producer 1 placed 595 into the buffer.
Consumer 2 took 99 from the buffer.
Producer 3 placed 973 into the buffer.
Consumer 1 took 794 from the buffer.
Producer 2 placed 302 into the buffer.
Consumer 2 took 642 from the buffer.
Consumer 1 took 688 from the buffer.
Producer 1 placed 678 into the buffer.
Producer 4 placed 370 into the buffer.
Consumer 1 took 352 from the buffer.
Producer 2 placed 630 into the buffer.
Producer 3 placed 911 into the buffer.
Consumer 2 took 472 from the buffer.
Consumer 1 took 75 from the buffer.
Consumer 2 took 514 from the buffer.
Producer 4 placed 11 into the buffer.
Producer 1 placed 707 into the buffer.
Consumer 1 took 867 from the buffer.
Consumer 2 took 595 from the buffer.
Producer 5 placed 121 into the buffer.
Producer 2 placed 361 into the buffer.
Consumer 1 took 973 from the buffer.
Consumer 2 took 302 from the buffer.
Producer 1 placed 823 into the buffer.
Producer 1 placed 672 into the buffer.
Consumer 1 took 678 from the buffer.
Producer 2 placed 22 into the buffer.
Producer 4 placed 68 into the buffer.
Consumer 2 took 370 from the buffer.
Consumer 1 took 630 from the buffer.
Producer 2 placed 731 into the buffer.
Producer 5 placed 148 into the buffer.
Consumer 2 took 911 from the buffer.
Consumer 2 took 11 from the buffer.
Producer 4 placed 723 into the buffer.
Producer 3 placed 595 into the buffer.
Consumer 1 took 707 from the buffer.
Consumer 2 took 121 from the buffer.
Consumer 1 took 361 from the buffer.
Producer 5 placed 207 into the buffer.
Producer 5 placed 708 into the buffer.
Consumer 2 took 823 from the buffer.
Producer 3 placed 678 into the buffer.
Producer 5 placed 836 into the buffer.
Consumer 1 took 672 from the buffer.
Consumer 2 took 22 from the buffer.
Producer 3 placed 341 into the buffer.
Consumer 1 took 68 from the buffer.
Producer 2 placed 523 into the buffer.
Consumer 2 took 148 from the buffer.
Producer 1 placed 386 into the buffer.
Producer 5 placed 839 into the buffer.
Consumer 1 took 731 from the buffer.
Consumer 1 took 595 from the buffer.
Producer 2 placed 8 into the buffer.
Consumer 2 took 723 from the buffer.
Producer 4 placed 375 into the buffer.
Consumer 1 took 207 from the buffer.
Producer 5 placed 717 into the buffer.
Producer 5 placed 113 into the buffer.
Consumer 2 took 708 from the buffer.
Consumer 1 took 678 from the buffer.
Producer 4 placed 270 into the buffer.
Producer 5 placed 671 into the buffer.
Consumer 2 took 836 from the buffer.
Consumer 1 took 523 from the buffer.
Producer 3 placed 657 into the buffer.
Consumer 2 took 341 from the buffer.
Producer 5 placed 12 into the buffer.
Consumer 2 took 386 from the buffer.
Consumer 1 took 839 from the buffer.
Producer 1 placed 309 into the buffer.
Producer 3 placed 39 into the buffer.
Consumer 1 took 375 from the buffer.
Consumer 2 took 8 from the buffer.
Producer 2 placed 277 into the buffer.
Producer 1 placed 606 into the buffer.
Consumer 2 took 113 from the buffer.
Producer 3 placed 129 into the buffer.
Consumer 1 took 717 from the buffer.
Producer 4 placed 396 into the buffer.
Consumer 1 took 671 from the buffer.
Producer 5 placed 124 into the buffer.
Producer 3 placed 64 into the buffer.
Consumer 2 took 270 from the buffer.
Consumer 1 took 657 from the buffer.
Producer 5 placed 308 into the buffer.
Producer 4 placed 291 into the buffer.
Consumer 2 took 12 from the buffer.
Consumer 2 took 309 from the buffer.
Consumer 1 took 39 from the buffer.
Producer 3 placed 850 into the buffer.
Producer 2 placed 456 into the buffer.
Consumer 1 took 606 from the buffer.
Producer 4 placed 380 into the buffer.
Consumer 2 took 277 from the buffer.
Producer 1 placed 702 into the buffer.
Consumer 2 took 129 from the buffer.
